	n	zI	zG_X_XX	zG_X_XY	zG_Y_XY	zG_Z_ZZ	zG_Z_ZW	zG_W_ZW	wI_star	wG_X_XX	wG_X_XY	wG_Y_XY	wG_Z_ZZ	wG_Z_ZW	wG_W_ZW	
	1.001	0.0004995	0.000333222	0.000332557	0.000999001	0.000665779	0.000666444	0	1.999	1.99884	1.99883	1.9985	1.99892	1.99892	1	
	1.002	0.000998004	0.000666221	0.000663566	0.00199601	0.00132979	0.00133244	0	1.998	1.99767	1.99767	1.99701	1.99784	1.99784	1	
	1.003	0.00149551	0.000998995	0.000993037	0.00299103	0.00199203	0.00199799	0	1.99701	1.99652	1.9965	1.99552	1.99676	1.99676	1	
	1.004	0.00199203	0.00133154	0.00132098	0.00398406	0.00265252	0.00266309	0	1.99602	1.99536	1.99534	1.99403	1.99569	1.99568	1	
	1.005	0.00248756	0.00166387	0.00164739	0.00497512	0.00331126	0.00332773	0	1.99502	1.99422	1.99417	1.99254	1.99462	1.9946	1	
	1.006	0.00298211	0.00199596	0.00197229	0.00596421	0.00396825	0.00399192	0	1.99404	1.99307	1.99301	1.99106	1.99355	1.99353	1	
	1.007	0.00347567	0.00232783	0.00229569	0.00695134	0.00462351	0.00465565	0	1.99305	1.99193	1.99185	1.98959	1.99248	1.99245	1	
	1.008	0.00396825	0.00265946	0.00261758	0.00793651	0.00527704	0.00531893	0	1.99206	1.99079	1.99069	1.98811	1.99142	1.99138	1	
	1.009	0.00445986	0.00299087	0.00293799	0.00891972	0.00592885	0.00598174	0	1.99108	1.98966	1.98952	1.98664	1.99036	1.99031	1	
	1.01	0.0049505	0.00332204	0.0032569	0.00990099	0.00657895	0.00664409	0	1.9901	1.98853	1.98836	1.98517	1.9893	1.98924	1	
	1.011	0.00544016	0.00365298	0.00357435	0.0108803	0.00722733	0.00730597	0	1.98912	1.9874	1.9872	1.98371	1.98824	1.98817	1	
	1.012	0.00592885	0.00398369	0.00389032	0.0118577	0.00787402	0.00796738	0	1.98814	1.98628	1.98604	1.98225	1.98719	1.98711	1	
	1.013	0.00641658	0.00431416	0.00420484	0.0128332	0.008519	0.00862833	0	1.98717	1.98516	1.98489	1.98079	1.98614	1.98604	1	
	1.014	0.00690335	0.0046444	0.0045179	0.0138067	0.0091623	0.0092888	0	1.98619	1.98404	1.98373	1.97934	1.98509	1.98498	1	
	1.015	0.00738916	0.0049744	0.00482952	0.0147783	0.00980392	0.00994881	0	1.98522	1.98293	1.98257	1.97789	1.98405	1.98392	1	
	1.016	0.00787402	0.00530417	0.0051397	0.015748	0.0104439	0.0106083	0	1.98425	1.98182	1.98141	1.97644	1.983	1.98286	1	
	1.017	0.00835792	0.00563369	0.00544845	0.0167158	0.0110821	0.0112674	0	1.98328	1.98071	1.98026	1.975	1.98196	1.9818	1	
	1.018	0.00884086	0.00596298	0.00575577	0.0176817	0.0117187	0.011926	0	1.98232	1.97961	1.9791	1.97356	1.98092	1.98074	1	
	1.019	0.00932287	0.00629202	0.00606168	0.0186457	0.0123537	0.012584	0	1.98135	1.97851	1.97794	1.97212	1.97989	1.97969	1	
	1.02	0.00980392	0.00662083	0.00636618	0.0196078	0.012987	0.0132417	0	1.98039	1.97742	1.97679	1.97069	1.97886	1.97863	1	
	1.021	0.010284	0.00694939	0.00666928	0.0205681	0.0136187	0.0138988	0	1.97943	1.97633	1.97564	1.96925	1.97782	1.97758	1	
	1.022	0.0107632	0.00727771	0.00697099	0.0215264	0.0142487	0.0145554	0	1.97847	1.97524	1.97448	1.96783	1.9768	1.97653	1	
	1.023	0.0112414	0.00760579	0.00727131	0.0224829	0.0148771	0.0152116	0	1.97752	1.97416	1.97333	1.9664	1.97577	1.97548	1	
	1.024	0.0117187	0.00793362	0.00757025	0.0234375	0.0155039	0.0158672	0	1.97656	1.97307	1.97218	1.96498	1.97475	1.97443	1	
	1.025	0.0121951	0.00826121	0.00786782	0.0243902	0.016129	0.0165224	0	1.97561	1.972	1.97103	1.96357	1.97373	1.97338	1	
	1.026	0.0126706	0.00858855	0.00816402	0.0253411	0.0167526	0.0171771	0	1.97466	1.97092	1.96988	1.96215	1.97271	1.97234	1	
	1.027	0.0131451	0.00891565	0.00845887	0.0262902	0.0173745	0.0178313	0	1.97371	1.96985	1.96873	1.96074	1.97169	1.97129	1	
	1.028	0.0136187	0.0092425	0.00875236	0.0272374	0.0179949	0.018485	0	1.97276	1.96878	1.96758	1.95933	1.97068	1.97025	1	
	1.029	0.0140914	0.00956909	0.00904451	0.0281827	0.0186136	0.0191382	0	1.97182	1.96772	1.96643	1.95793	1.96967	1.96921	1	
	1.03	0.0145631	0.00989544	0.00933532	0.0291262	0.0192308	0.0197909	0	1.97087	1.96666	1.96528	1.95653	1.96866	1.96817	1	
	1.031	0.0150339	0.0102215	0.00962481	0.0300679	0.0198464	0.0204431	0	1.96993	1.9656	1.96413	1.95513	1.96765	1.96713	1	
	1.032	0.0155039	0.0105474	0.00991296	0.0310078	0.0204604	0.0210948	0	1.96899	1.96454	1.96299	1.95373	1.96665	1.9661	1	
	1.033	0.0159729	0.010873	0.0101998	0.0319458	0.0210728	0.021746	0	1.96805	1.96349	1.96184	1.95234	1.96565	1.96506	1	
	1.034	0.016441	0.0111983	0.0104853	0.032882	0.0216837	0.0223967	0	1.96712	1.96244	1.96069	1.95095	1.96465	1.96403	1	
	1.035	0.0169082	0.0115234	0.0107696	0.0338164	0.022293	0.0230469	0	1.96618	1.9614	1.95955	1.94957	1.96365	1.963	1	
	1.036	0.0173745	0.0118483	0.0110525	0.034749	0.0229008	0.0236965	0	1.96525	1.96035	1.95841	1.94818	1.96265	1.96196	1	
	1.037	0.0178399	0.0121729	0.0113341	0.0356798	0.023507	0.0243457	0	1.96432	1.95931	1.95726	1.9468	1.96166	1.96093	1	
